timestamp,messageType,latencyMs,statusCode,roomId
1760133168179,TEXT,26,200,19
1760133168181,TEXT,24,200,1
1760133168179,TEXT,26,200,19
1760133168181,TEXT,24,200,10
1760133168181,TEXT,24,200,1
1760133168181,TEXT,24,200,1
1760133168181,TEXT,24,200,10
1760133168182,TEXT,24,200,1
1760133168181,TEXT,24,200,10
1760133168177,TEXT,29,200,18
1760133168180,TEXT,25,200,19
1760133168180,TEXT,25,200,19
1760133168180,TEXT,25,200,19
1760133168180,TEXT,25,200,19
1760133168181,TEXT,25,200,19
1760133168181,TEXT,25,200,19
1760133168181,TEXT,24,200,19
1760133168179,TEXT,27,200,16
1760133168181,TEXT,24,200,19
1760133168182,TEXT,24,200,19
1760133168181,TEXT,24,200,10
1760133168179,TEXT,26,200,16
1760133168182,JOIN,24,200,19
1760133168182,TEXT,24,200,10
1760133168182,TEXT,23,200,19
1760133168182,JOIN,23,200,19
1760133168179,TEXT,26,200,16
1760133168177,TEXT,29,200,18
1760133168182,TEXT,23,200,19
1760133168178,TEXT,28,200,18
1760133168183,TEXT,23,200,19
1760133168178,TEXT,28,200,18
1760133168179,TEXT,26,200,16
1760133168183,TEXT,23,200,19
1760133168179,TEXT,26,200,18
1760133168183,TEXT,22,200,19
1760133168180,TEXT,26,200,16
1760133168183,TEXT,22,200,19
1760133168179,TEXT,26,200,18
1760133168183,TEXT,22,200,19
1760133168179,TEXT,26,200,18
1760133168180,TEXT,25,200,16
1760133168184,TEXT,22,200,19
1760133168179,TEXT,26,200,18
1760133168181,TEXT,25,200,16
1760133168184,TEXT,22,200,19
1760133168179,TEXT,26,200,18
1760133168181,TEXT,25,200,18
1760133168181,TEXT,25,200,16
1760133168181,TEXT,25,200,18
1760133168181,TEXT,25,200,16
1760133168181,TEXT,25,200,18
1760133168181,TEXT,25,200,16
1760133168182,TEXT,24,200,18
1760133168182,TEXT,24,200,18
1760133168181,JOIN,24,200,16
1760133168182,TEXT,24,200,18
1760133168183,TEXT,23,200,18
1760133168181,TEXT,24,200,16
1760133168183,TEXT,23,200,18
1760133168183,TEXT,23,200,18
1760133168183,TEXT,23,200,18
1760133168182,TEXT,24,200,16
1760133168183,TEXT,23,200,18
1760133168184,TEXT,22,200,18
1760133168182,LEAVE,24,200,16
1760133168184,TEXT,22,200,18
1760133168184,TEXT,22,200,18
1760133168182,TEXT,24,200,16
1760133168185,TEXT,21,200,18
1760133168185,TEXT,21,200,18
1760133168186,TEXT,20,200,18
1760133168176,TEXT,30,200,7
1760133168182,TEXT,24,200,16
1760133168187,TEXT,19,200,18
1760133168177,TEXT,29,200,7
1760133168187,TEXT,19,200,18
1760133168187,TEXT,19,200,18
1760133168188,TEXT,18,200,18
1760133168188,TEXT,18,200,18
1760133168188,TEXT,18,200,18
1760133168177,TEXT,29,200,7
1760133168177,TEXT,29,200,7
1760133168179,TEXT,28,200,7
1760133168179,TEXT,27,200,7
1760133168179,TEXT,27,200,7
1760133168179,TEXT,27,200,7
1760133168179,TEXT,27,200,7
1760133168181,TEXT,25,200,7
1760133168181,TEXT,25,200,7
1760133168181,TEXT,25,200,7
1760133168182,TEXT,24,200,7
1760133168182,TEXT,24,200,7
1760133168183,TEXT,23,200,7
1760133168184,TEXT,23,200,7
1760133168184,TEXT,23,200,7
1760133168184,TEXT,23,200,7
1760133168184,TEXT,22,200,7
1760133168185,TEXT,22,200,7
1760133168185,TEXT,21,200,7
1760133168185,TEXT,21,200,7
1760133168186,TEXT,21,200,7
1760133168186,TEXT,20,200,7
1760133168186,TEXT,20,200,7
1760133168186,TEXT,20,200,7
1760133168188,TEXT,19,200,7
1760133168188,TEXT,19,200,7
1760133168178,TEXT,28,200,12
1760133168175,TEXT,31,200,2
1760133168175,TEXT,31,200,2
1760133168179,TEXT,27,200,12
1760133168176,TEXT,30,200,2
1760133168180,TEXT,26,200,12
1760133168176,TEXT,30,200,2
1760133168180,JOIN,26,200,12
1760133168176,TEXT,30,200,2
1760133168181,TEXT,26,200,12
1760133168177,TEXT,30,200,2
1760133168181,LEAVE,26,200,12
1760133168177,JOIN,29,200,2
1760133168181,TEXT,25,200,12
1760133168177,TEXT,29,200,2
1760133168182,TEXT,25,200,12
1760133168178,TEXT,28,200,2
1760133168179,TEXT,28,200,2
1760133168182,TEXT,25,200,12
1760133168179,TEXT,28,200,2
1760133168182,TEXT,25,200,12
1760133168179,TEXT,28,200,2
1760133168179,TEXT,28,200,2
1760133168179,TEXT,27,200,2
1760133168182,TEXT,25,200,12
1760133168179,TEXT,27,200,2
1760133168182,LEAVE,25,200,12
1760133168180,TEXT,26,200,2
1760133168182,TEXT,24,200,12
1760133168182,TEXT,24,200,12
1760133168183,TEXT,24,200,12
1760133168183,TEXT,23,200,12
1760133168181,TEXT,26,200,2
1760133168184,TEXT,23,200,12
1760133168181,TEXT,26,200,2
1760133168184,TEXT,22,200,12
1760133168181,TEXT,25,200,2
1760133168185,TEXT,22,200,12
1760133168182,TEXT,25,200,2
1760133168185,TEXT,22,200,12
1760133168182,TEXT,24,200,2
1760133168185,TEXT,21,200,12
1760133168183,TEXT,24,200,2
1760133168185,TEXT,21,200,12
1760133168185,TEXT,21,200,12
1760133168185,TEXT,21,200,12
1760133168185,TEXT,21,200,12
1760133168186,TEXT,21,200,12
